"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2023",4521.659,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2023",4833.46,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2023",3929.14,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2023",4904.512,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2023",2304.604,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2023",2206.936,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2023",3380.806,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2023",2878.75,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2023",2702.125,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2023",10575.256,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2023",2586.671,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2023",7119.019,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2023",3778.973,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2023",3397.981,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2023",5191.132,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2023",1386.103,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2023",6852.08,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2023",1082.39,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2023",2683.221,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2023",1079.484,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2023",,"U",,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2022",1797.204,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2022",2337.474,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2022",1576.752,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2022",1476.925,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2022",4215.79,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2022",2067.396,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2022",2560.463,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2022",1875.374,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2022",1866.248,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2022",4229.491,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2022",1299.269,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2022",2033.203,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2022",912.033,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2022",806.177,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2022",,"U",,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2022",1797.204,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2022",3990.02,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2022",2038.785,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2022",2400.358,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2022",2215.81,,,"T30:20","R1:3513"
